"color";"key";"value"
"1";"Diseases of the genitourinary system";286885
"2";"Neoplasms";282020
"3";"Diseases of the digestive system";211980
"4";"Diseases of the respiratory system";181338
"5";"Diseases of the circulatory system";169542
"1";"Factors influencing health status and contact with health services";139718
"2";"Injury, poisoning and certain other consequences of external causes";120812
"3";"Pregnancy, childbirth and the puerperium";106342
"4";"Diseases of the musculoskeletal system and connective tissue";93537
"5";"Certain infectious and parasitic diseases";72321
"1";"Endocrine, nutritional and metabolic diseases";53470
"2";"Diseases of the eye and adnexa";48465
"3";"Diseases of the skin and subcutaneous tissue";45740
"4";"Mental and behavioural disorders";39353
"5";"Diseases of the nervous system";35886
"1";"Certain conditions originating in the perinatal period";33882
"2";"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism";32522
"3";"Congenital malformations, deformations and chromosomal abnormalities";12367
"4";"Diseases of the ear and mastoid process";10670
"5";"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified";231611
"1";"Unknown diagnosis (refers to uncoded principal diagnosis)";8502
